region,PopulationEstimate2019,PopulationDensity2010
AL,4903185,94.4
AK,731545,1.2
AS,55197,
AZ,7278717,56.3
AR,3017804,56
CA,39512223,239.1
CO,5758736,48.5
CT,3565287,738.1
DE,973764,460.8
DC,705749,9856.5
FL,21477737,350.6
GA,10617423,168.4
GU,168783,
HI,1415872,211.8
ID,1787065,19
IL,12671821,231.1
IN,6732219,181
IA,3155070,54.5
KS,2913314,34.9
KY,4467673,109.9
LA,4648794,104.9
ME,1344212,43.1
MD,6045680,594.8
MA,6892503,839.4
MI,9986857,174.8
MN,5639632,66.6
MS,2976149,63.2
MO,6137428,87.1
MT,1068778,6.8
NE,1934408,23.8
NV,3080156,24.6
NH,1359711,147
NJ,8882190,1195.5
NM,2096829,17
NY,19453561,411.2
NC,10488084,196.1
ND,762062,9.7
OH,11689100,282.3
OK,3956971,54.7
OR,4217737,39.9
PA,12801989,283.9
RI,1059361,1018.1
SC,5148714,153.9
SD,884659,10.7
TN,6829174,153.9
TX,28995881,96.3
UT,3205958,33.6
VT,623989,67.9
VA,8535519,202.6
VI,106290,
WA,7614893,101.2
WV,1792147,77.1
WI,5822434,105
WY,578759,5.8
PR,3193694,1088.2
X,328239523,87.4
